titre,entreprise,localisation,competences_cles,niveau_etudes_requis,niveau_experience,contrat_propose,date_publication,lien
Agent de Saisie et Facturation - Lissassfa,TECTRA BERRECHID,Casablanca-Mohammedia,"['Comptabilité ', ' Facturation ', ' Finance ', ' Gestion ', ' Gestion des Factures ', ' Rapports Financiers']",Bac+2 & Bac+3,Expérience entre 2 ans et 5 ans et plus,CDI,17.01.2025,https://www.emploi.ma/offre-emploi-maroc/agent-saisie-facturation-lissassfa-8736436
Chef d´Agence  - Marrakech,FONDATION ARRAWAJ,Marrakech-Safi,"[""Gestion d'Équipe "", ' Négociation ', ' Prospection ', ' Recouvrement ', ' Techniques de Vente ', ' Vente']",Bac+4 & Bac+5 et plus,Débutant < 2 ans et plus,CDI,17.01.2025,https://www.emploi.ma/offre-emploi-maroc/chef-agence-marrakech-8736409
Formateur en Usinage - Nouaceur,TECTRA BERRECHID,Casablanca-Mohammedia,"['Machines ', ' Maintenance ', ' Procédés ', ' Productique ', ' Productique Mécanique ', ' Qualité ', ' Usinage']","Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 5 ans et 10 ans & Expérience > 10 ans,CDI,17.01.2025,https://www.emploi.ma/offre-emploi-maroc/formateur-usinage-nouaceur-8736356
Secrétaire Polyvalente  - Casablanca,TECTRA CASA BOURGOGNE – RECRUTEMENT,Casablanca-Mohammedia,"['Archivage ', ' Assistanat ', ' Comptabilité ', ' Documents Administratifs ', ' Dossiers ', ' Finance ', ' Gestion ', ' Gestion Administrative ', ' Gestion des Appels ', ' Gestion des Documents ', ' Recouvrement ', ' Rédaction ', ' Saisie de Données ', ' Secrétariat']","Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,Intérim,17.01.2025,https://www.emploi.ma/offre-emploi-maroc/secretaire-polyvalente-casablanca-8736099
Superviseur Vols H/F - Casablanca,TECTRA CASA BOURGOGNE – RECRUTEMENT,Casablanca-Mohammedia,['Vente'],"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,Intérim,17.01.2025,https://www.emploi.ma/offre-emploi-maroc/superviseur-vols-hf-casablanca-8736062
Contrôleur de Gestion H/F - Casablanca,KARTNER INVEST,Casablanca-Mohammedia,"['Comptabilité ', ' Gestion ', ' Processus de Gestion ', ' Suivi Budgétaire']",Bac+5 et plus,Expérience entre 2 ans et 5 ans & Expérience entre 5 ans et 10 ans,CDI,17.01.2025,https://www.emploi.ma/offre-emploi-maroc/controleur-gestion-hf-casablanca-8735992
Gestionnaire Sinistre Automobile - Casablanca,KARTNER INVEST,Casablanca-Mohammedia,['Vente'],Bac+2 & Bac+3,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,CDI & CDD,17.01.2025,https://www.emploi.ma/offre-emploi-maroc/gestionnaire-sinistre-automobile-casablanca-8735989
Technicien Peintre  - Casablanca,TECTRA CASA BOURGOGNE – RECRUTEMENT,Casablanca-Mohammedia,"['Énergie ', ' Équipement ', ' Hôtellerie ', ' Maintenance ', ' Production ', ' Qualité']","Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,Intérim,17.01.2025,https://www.emploi.ma/offre-emploi-maroc/technicien-peintre-casablanca-8735967
Assistante de Direction Motorisée - Khouribga,GROUPE TECTRA,Marrakech-Safi,"['Archivage ', ' Assistanat ', ' Gestion du Courrier']",Bac+2,Expérience entre 2 ans et 5 ans,Intérim,17.01.2025,https://www.emploi.ma/offre-emploi-maroc/assistante-direction-motorisee-khouribga-8735914
Ingénieur R&D - Formulation - Meknès,O'DASSIA,Meknès,"['Analyse Chimique ', ' Analyse de la Qualité ', ' Certification ', ' Certifications ISO ', ' Chimie ', ' Chimie Industrielle ', ' Formulation ', ' Polymères']",Bac+5 et plus,Débutant < 2 ans et plus,CDI,17.01.2025,https://www.emploi.ma/offre-emploi-maroc/charge-affaires-casablanca-marrakech-8676927
Assistante de Direction Etude Notariale - Casablanca,GROUPE TECTRA,Casablanca-Mohammedia,"['Assistanat ', ' Rédaction']",Bac+2,Expérience entre 2 ans et 5 ans,Intérim,17.01.2025,https://www.emploi.ma/offre-emploi-maroc/assistante-direction-etude-notariale-casablanca-8735765
